STE_CODE21,STE_NAME21,SAL_CODE21,SAL_NAME21,area,bf_area,bf_area_pct,cent_lat,cent_lon
8,Australian Capital Territory,80001,ACT Remainder - Belconnen,37.87631239451056,37.06830668580085,0.9786672551357767,-35.25609086027132,149.02047793112845
8,Australian Capital Territory,80002,ACT Remainder - Booth,116.08397503793508,116.08394860021728,0.9999997722535106,-35.61605186095896,149.04947333653232
8,Australian Capital Territory,80003,ACT Remainder - Canberra Central,6.7273745902116815,6.695620895103723,0.9952799276029374,-35.27464759177676,149.0961570986188
8,Australian Capital Territory,80004,ACT Remainder - Coree,80.06089692553198,78.75152940610805,0.9836453553519163,-35.286338643252556,148.90837926843025
8,Australian Capital Territory,80005,ACT Remainder - Cotter River,336.80385723602376,332.12139712861455,0.9860973679285155,-35.46430593953672,148.83659609867775
8,Australian Capital Territory,80006,ACT Remainder - Gungahlin,41.04815285488052,40.327864653608025,0.9824526038036604,-35.175499615338005,149.14707105368936
8,Australian Capital Territory,80007,ACT Remainder - Hall,1.069810997849118,1.057921126110995,0.9888860071900292,-35.16746439898354,149.05583723654468
8,Australian Capital Territory,80008,ACT Remainder - Jerrabomberra,20.426613593862502,18.939396781726952,0.9271921992697602,-35.365965921151925,149.15867829002954
8,Australian Capital Territory,80009,ACT Remainder - Kowen,76.95627107971568,76.95619024728505,0.999998949631661,-35.31081168330065,149.31359011674766
8,Australian Capital Territory,80010,ACT Remainder - Majura,82.36898616805055,81.50454971031058,0.9895053162852299,-35.269324726371224,149.2123036134558
8,Australian Capital Territory,80011,ACT Remainder - Molonglo Valley,13.369953537962273,13.369953537961889,0.9999999999999714,-35.292162754804025,149.05989159198768
8,Australian Capital Territory,80012,ACT Remainder - Paddys River,256.17151661689854,256.1715166168956,0.9999999999999885,-35.44471377929224,148.96675224707192
8,Australian Capital Territory,80013,ACT Remainder - Rendezvous Creek,749.8151104011193,749.8150031278318,0.9999998569336813,-35.70820723119388,148.96283376552518
8,Australian Capital Territory,80014,ACT Remainder - Stromlo,75.65051703201249,75.65051703201354,1.000000000000014,-35.31407420742045,148.9903513562839
8,Australian Capital Territory,80015,ACT Remainder - Tuggeranong,95.72485937117898,94.97076845468163,0.9921223084426448,-35.48142038524109,149.10270896197173
8,Australian Capital Territory,80016,ACT Remainder - Weston Creek,1.5533603103147129,1.5533603103142977,0.9999999999997327,-35.31215081470629,149.07166719227496
8,Australian Capital Territory,80017,Acton (ACT),5.989521522688297,0.40768479283140907,0.06806633740059198,-35.28731655238816,149.11212762589136
8,Australian Capital Territory,80018,Ainslie,3.541325419646248,1.0443606662616134,0.2949067206497891,-35.2622464218915,149.14784640688117
8,Australian Capital Territory,80019,Amaroo (ACT),2.587864947765163,0.18151106811626674,0.07013931243707933,-35.169587699746366,149.12802158660494
8,Australian Capital Territory,80020,Aranda,1.5635438404548372,0.6048400493005588,0.3868392005718304,-35.25817068317568,149.08040428606245
8,Australian Capital Territory,80021,Banks,2.2535236950297977,0.5417697774238227,0.2404100647438096,-35.471935476514695,149.0996521634995
8,Australian Capital Territory,80022,Barton,2.150632473858465,1.793358459509909e-5,8.338749095015905e-6,-35.307281709515145,149.1404493590497
8,Australian Capital Territory,80023,Beard,0.4470573448376134,0.2896883455346047,0.6479892319850589,-35.34172634087902,149.21045118872988
8,Australian Capital Territory,80024,Belconnen,4.425964607463075,0.47972405915022753,0.1083885890866175,-35.23566380106525,149.06761930892827
8,Australian Capital Territory,80025,Bonner,2.7561894800937266,0.9127590338794742,0.3311670117282485,-35.15597655068329,149.14297184913124
8,Australian Capital Territory,80026,Bonython,2.904343119241679,1.6156869836639873,0.5563003120946128,-35.433255172227426,149.0782246062498
8,Australian Capital Territory,80027,Braddon,1.4080752032920085,,0,-35.27081389523577,149.13567707678388
8,Australian Capital Territory,80028,Bruce (ACT),6.60930628773923,3.3788120622735405,0.5112203785352626,-35.245466939586215,149.09156711126977
8,Australian Capital Territory,80029,Calwell,3.8928068848631976,1.0586233986085303,0.2719434664804167,-35.44041885183284,149.10707259574662
8,Australian Capital Territory,80030,Campbell,5.571680144742845,1.9487092162148765,0.34975252806885904,-35.29133281490446,149.15817822123427
8,Australian Capital Territory,80031,Canberra Airport,4.532186645186219,0.385871268577337,0.08514019805146004,-35.30446670126377,149.19404281665948
8,Australian Capital Territory,80032,Capital Hill,0.7015215985489608,,0,-35.30818003194749,149.12445818457604
8,Australian Capital Territory,80033,Casey,2.6223014291735853,1.01075513855462,0.3854458253005484,-35.16701200835855,149.09470564399643
8,Australian Capital Territory,80034,Chapman,1.8559816300428347,0.5042035910400424,0.2716641064105822,-35.35620776852116,149.03742275848563
8,Australian Capital Territory,80035,Charnwood,1.8561429912090441,0.03531672255791584,0.019026940664151865,-35.20018912899517,149.03412399593986
8,Australian Capital Territory,80036,Chifley (ACT),1.5889924583581854,0.4807858157246315,0.30257274865948697,-35.35339780992977,149.0768352223801
8,Australian Capital Territory,80037,Chisholm (ACT),3.104872998163033,0.4848047032253472,0.15614316705133416,-35.42203129050656,149.1247571673519
8,Australian Capital Territory,80038,City,1.4314277579108328,,0,-35.28127305199931,149.12916409279248
8,Australian Capital Territory,80039,Conder,4.524287154551104,2.505432167566273,0.5537739055855442,-35.459255661173536,149.10421514500524
8,Australian Capital Territory,80040,Cook,1.583398808686085,0.257793558276467,0.16281025150599035,-35.260087002427646,149.0663912485668
8,Australian Capital Territory,80041,Coombs,2.317846736428555,0.8318032779919007,0.3588689730510748,-35.31676098729539,149.0424369505883
