fid,STE_CODE21,STE_NAME21,SAL_CODE21,SAL_NAME21,area,bf_area,bf_area_pct
"1","8",Australian Capital Territory,"80001",ACT Remainder - Belconnen,37.8763123945106,37.0683066858008,0.978667255135777
"2","8",Australian Capital Territory,"80002",ACT Remainder - Booth,116.083975037935,116.083948600217,0.999999772253511
"3","8",Australian Capital Territory,"80003",ACT Remainder - Canberra Central,6.72737459021168,6.69562089510372,0.995279927602937
"4","8",Australian Capital Territory,"80004",ACT Remainder - Coree,80.060896925532,78.751529406108,0.983645355351916
"5","8",Australian Capital Territory,"80005",ACT Remainder - Cotter River,336.803857236024,332.121397128615,0.986097367928516
"6","8",Australian Capital Territory,"80006",ACT Remainder - Gungahlin,41.0481528548805,40.327864653608,0.98245260380366
"7","8",Australian Capital Territory,"80007",ACT Remainder - Hall,1.06981099784912,1.057921126111,0.988886007190029
"8","8",Australian Capital Territory,"80008",ACT Remainder - Jerrabomberra,20.4266135938625,18.939396781727,0.92719219926976
"9","8",Australian Capital Territory,"80009",ACT Remainder - Kowen,76.9562710797157,76.9561902472851,0.999998949631661
"10","8",Australian Capital Territory,"80010",ACT Remainder - Majura,82.3689861680506,81.5045497103106,0.98950531628523
"11","8",Australian Capital Territory,"80011",ACT Remainder - Molonglo Valley,13.3699535379623,13.3699535379619,0.999999999999971
"12","8",Australian Capital Territory,"80012",ACT Remainder - Paddys River,256.171516616899,256.171516616896,0.999999999999988
"13","8",Australian Capital Territory,"80013",ACT Remainder - Rendezvous Creek,749.815110401119,749.815003127832,0.999999856933681
"14","8",Australian Capital Territory,"80014",ACT Remainder - Stromlo,75.6505170320125,75.6505170320135,1.00000000000001
"15","8",Australian Capital Territory,"80015",ACT Remainder - Tuggeranong,95.724859371179,94.9707684546816,0.992122308442645
"16","8",Australian Capital Territory,"80016",ACT Remainder - Weston Creek,1.55336031031471,1.5533603103143,0.999999999999733
"17","8",Australian Capital Territory,"80017",Acton (ACT),5.9895215226883,0.407684792831409,0.068066337400592
"18","8",Australian Capital Territory,"80018",Ainslie,3.54132541964625,1.04436066626161,0.294906720649789
"19","8",Australian Capital Territory,"80019",Amaroo (ACT),2.58786494776516,0.181511068116267,0.0701393124370793
"20","8",Australian Capital Territory,"80020",Aranda,1.56354384045484,0.604840049300559,0.38683920057183
"21","8",Australian Capital Territory,"80021",Banks,2.2535236950298,0.541769777423823,0.24041006474381
"22","8",Australian Capital Territory,"80022",Barton,2.15063247385846,1.79335845950991e-05,8.3387490950159e-06
"23","8",Australian Capital Territory,"80023",Beard,0.447057344837613,0.289688345534605,0.647989231985059
"24","8",Australian Capital Territory,"80024",Belconnen,4.42596460746307,0.479724059150228,0.108388589086617
"25","8",Australian Capital Territory,"80025",Bonner,2.75618948009373,0.912759033879474,0.331167011728248
"26","8",Australian Capital Territory,"80026",Bonython,2.90434311924168,1.61568698366399,0.556300312094613
"27","8",Australian Capital Territory,"80027",Braddon,1.40807520329201,,0
"28","8",Australian Capital Territory,"80028",Bruce (ACT),6.60930628773923,3.37881206227354,0.511220378535263
"29","8",Australian Capital Territory,"80029",Calwell,3.8928068848632,1.05862339860853,0.271943466480417
"30","8",Australian Capital Territory,"80030",Campbell,5.57168014474285,1.94870921621488,0.349752528068859
"31","8",Australian Capital Territory,"80031",Canberra Airport,4.53218664518622,0.385871268577337,0.08514019805146
"32","8",Australian Capital Territory,"80032",Capital Hill,0.701521598548961,,0
"33","8",Australian Capital Territory,"80033",Casey,2.62230142917359,1.01075513855462,0.385445825300548
"34","8",Australian Capital Territory,"80034",Chapman,1.85598163004283,0.504203591040042,0.271664106410582
"35","8",Australian Capital Territory,"80035",Charnwood,1.85614299120904,0.0353167225579158,0.0190269406641519
"36","8",Australian Capital Territory,"80036",Chifley (ACT),1.58899245835819,0.480785815724632,0.302572748659487
"37","8",Australian Capital Territory,"80037",Chisholm (ACT),3.10487299816303,0.484804703225347,0.156143167051334
"38","8",Australian Capital Territory,"80038",City,1.43142775791083,,0
"39","8",Australian Capital Territory,"80039",Conder,4.5242871545511,2.50543216756627,0.553773905585544
"40","8",Australian Capital Territory,"80040",Cook,1.58339880868609,0.257793558276467,0.16281025150599
"41","8",Australian Capital Territory,"80041",Coombs,2.31784673642855,0.831803277991901,0.358868973051075
"42","8",Australian Capital Territory,"80042",Crace,1.65190305701252,0.408456379591131,0.247264134452192
"43","8",Australian Capital Territory,"80043",Curtin,4.80805451761977,2.25322896605232,0.468636318035716
"44","8",Australian Capital Territory,"80044",Deakin,3.57158422450813,1.0862248643043,0.304129707162064
"45","8",Australian Capital Territory,"80045",Denman Prospect,4.74385630498448,3.52293642254065,0.742631352226883
"46","8",Australian Capital Territory,"80046",Dickson,1.57812553541762,,0
"47","8",Australian Capital Territory,"80047",Downer,1.634191115845,,0
"48","8",Australian Capital Territory,"80048",Duffy,2.7968809084917,1.36865869347733,0.489351795180805
"49","8",Australian Capital Territory,"80049",Dunlop,3.60567903423675,1.02377751040501,0.2839347320391
"50","8",Australian Capital Territory,"80050",Evatt,3.06063104047777,0.103439090923309,0.0337966548581962
"51","8",Australian Capital Territory,"80051",Fadden,3.10675988550778,2.10234050147459,0.676698740472816
"52","8",Australian Capital Territory,"80052",Farrer,2.06904719824926,0.561169037334512,0.271220993803017
"53","8",Australian Capital Territory,"80053",Fisher (ACT),1.58261323978119,0.333798372085653,0.210915948189466
"54","8",Australian Capital Territory,"80054",Florey,2.75548992025742,,0
"55","8",Australian Capital Territory,"80055",Flynn (ACT),2.09578207756615,0.226809406300426,0.1082218465022
